source,title,timedate,links
tvOneNews.com,"Mengejutkan! 5 Fakta Sosok Mas Bechi Pelaku Pencabulan, Anak Kiai yang Jadi Wakil Rektor PonPes tapi Ogah-ogahan Salat",6 jam lalu,https://news.google.com/articles/CBMinwFodHRwczovL3d3dy50dm9uZW5ld3MuY29tL2RhZXJhaC9qYXRpbS81Mjg3My1tZW5nZWp1dGthbi01LWZha3RhLXNvc29rLW1hcy1iZWNoaS1wZWxha3UtcGVuY2FidWxhbi1zaS1hbmFrLWtpYWktamFkaS13YWtpbC1yZWt0b3ItcG9ucGVzLXRhcGktb2dhaC1vZ2FoYW4tc2FsYXTSAQA?hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,Pencabulan Anak Kiai Jombang Tak Cukup Sekadar Cabut Izin Pesantren,6 jam lalu,https://news.google.com/articles/CAIiEH7VsuA-dqFyE31h-0PmJ24qMwgEKioIACIQ3Sax1OtL6IZjpKEyJBUKryoUCAoiEN0msdTrS-iGY6ShMiQVCq8wsb-BBw?uo=CAUiggFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL25hc2lvbmFsLzIwMjIwNzExMTA1MDM3LTEyLTgxOTg4NS9wZW5jYWJ1bGFuLWFuYWsta2lhaS1qb21iYW5nLXRhay1jdWt1cC1zZWthZGFyLWNhYnV0LWl6aW4tcGVzYW50cmVu0gEA&hl=id&gl=ID&ceid=ID%3Aid
detikcom,Sosok 'Sang Raja' Bechi Terjerat Pencabulan-Miliki Tempat Bai'at Megah,9 jam lalu,https://news.google.com/articles/CBMifGh0dHBzOi8vd3d3LmRldGlrLmNvbS9qYXRpbS9odWt1bS1kYW4ta3JpbWluYWwvZC02MTcyNzczL3Nvc29rLXNhbmctcmFqYS1iZWNoaS10ZXJqZXJhdC1wZW5jYWJ1bGFuLW1pbGlraS10ZW1wYXQtYmFpYXQtbWVnYWjSAYABaHR0cHM6Ly93d3cuZGV0aWsuY29tL2phdGltL2h1a3VtLWRhbi1rcmltaW5hbC9kLTYxNzI3NzMvc29zb2stc2FuZy1yYWphLWJlY2hpLXRlcmplcmF0LXBlbmNhYnVsYW4tbWlsaWtpLXRlbXBhdC1iYWlhdC1tZWdhaC9hbXA?hl=id&gl=ID&ceid=ID%3Aid
Tribunnews,"Sempat Tantang Polisi Sebelum Diciduk, Mas Bechi Ngaku Difitnah mantan Istri Ayah soal Pencabulan",8 jam lalu,https://news.google.com/articles/CCAiC2ZwOGQ1MUIzOTF3mAEB?hl=id&gl=ID&ceid=ID%3Aid
JPNN.com,"Ayah Mas Bechi Seorang Kiai Karismatik Berpengaruh di Jombang, Pantas Polisi Kesusahan",17 jam lalu,https://news.google.com/articles/CBMibWh0dHBzOi8vbS5qcG5uLmNvbS9uZXdzL2F5YWgtbWFzLWJlY2hpLXNlb3Jhbmcta2lhaS1rYXJpc21hdGlrLWJlcnBlbmdhcnVoLWRpLWpvbWJhbmctcGFudGFzLXBvbGlzaS1rZXN1c2FoYW7SAXFodHRwczovL20uanBubi5jb20vYW1wL25ld3MvYXlhaC1tYXMtYmVjaGktc2VvcmFuZy1raWFpLWthcmlzbWF0aWstYmVycGVuZ2FydWgtZGktam9tYmFuZy1wYW50YXMtcG9saXNpLWtlc3VzYWhhbg?hl=id&gl=ID&ceid=ID%3Aid
detikNews,Demonstran Akan Terus Duduki Istana sampai Presiden Sri Lanka Mundur!,7 jam lalu,https://news.google.com/articles/CBMic2h0dHBzOi8vbmV3cy5kZXRpay5jb20vaW50ZXJuYXNpb25hbC9kLTYxNzI5NDkvZGVtb25zdHJhbi1ha2FuLXRlcnVzLWR1ZHVraS1pc3RhbmEtc2FtcGFpLXByZXNpZGVuLXNyaS1sYW5rYS1tdW5kdXLSAXdodHRwczovL25ld3MuZGV0aWsuY29tL2ludGVybmFzaW9uYWwvZC02MTcyOTQ5L2RlbW9uc3RyYW4tYWthbi10ZXJ1cy1kdWR1a2ktaXN0YW5hLXNhbXBhaS1wcmVzaWRlbi1zcmktbGFua2EtbXVuZHVyL2FtcA?hl=id&gl=ID&ceid=ID%3Aid
KOMPASTV,"Akibat Protes Krisis Ekonomi, Perdana Menteri Sri Lanka Akan Mengundurkan Diri",23 jam lalu,https://news.google.com/articles/CCAiC3NwLUMyT2dWa0k0mAEB?hl=id&gl=ID&ceid=ID%3Aid
Suara.com,Sabtu Lalu Jadi Puncak Aksi Protes Selama Berbulan-bulan di Sri Lanka,3 jam lalu,https://news.google.com/articles/CAIiEMKkAeP1zrS2z7P8wojbwBMqGQgEKhAIACoHCAow6aqNCzDNo58DMNOQqAY?uo=CAUicmh0dHBzOi8vd3d3LnN1YXJhLmNvbS9uZXdzLzIwMjIvMDcvMTEvMTQxMzE0L3NhYnR1LWxhbHUtamFkaS1wdW5jYWstYWtzaS1wcm90ZXMtc2VsYW1hLWJlcmJ1bGFuLWJ1bGFuLWRpLXNyaS1sYW5rYdIBAA&hl=id&gl=ID&ceid=ID%3Aid
detikFinance,Sejarah Krisis Sri Lanka yang Berujung Pengunduran Diri Presiden Rajapaksa,11 jam lalu,https://news.google.com/articles/CBMihAFodHRwczovL2ZpbmFuY2UuZGV0aWsuY29tL2Jlcml0YS1la29ub21pLWJpc25pcy9kLTYxNzI1MTIvc2VqYXJhaC1rcmlzaXMtc3JpLWxhbmthLXlhbmctYmVydWp1bmctcGVuZ3VuZHVyYW4tZGlyaS1wcmVzaWRlbi1yYWphcGFrc2HSAYgBaHR0cHM6Ly9maW5hbmNlLmRldGlrLmNvbS9iZXJpdGEtZWtvbm9taS1iaXNuaXMvZC02MTcyNTEyL3NlamFyYWgta3Jpc2lzLXNyaS1sYW5rYS15YW5nLWJlcnVqdW5nLXBlbmd1bmR1cmFuLWRpcmktcHJlc2lkZW4tcmFqYXBha3NhL2FtcA?hl=id&gl=ID&ceid=ID%3Aid
KOMPASTV,"Makin Mencekam! Massa Bakar Rumah PM Sri Lanka, Buntut Kebangkrutan Negara",Kemarin,https://news.google.com/articles/CCAiC3RqcEhFQUY5NTIwmAEB?hl=id&gl=ID&ceid=ID%3Aid
