source,title,timedate,links
Nasional Kompas.com,Jokowi Tanda Tangani Pemberhentian Lili Pintauli sebagai Pimpinan KPK - Kompas.com,2022-07-11T05:18:00Z,https://news.google.com/articles/CBMiemh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjIvMDcvMTEvMTIxODQ3ODEvam9rb3dpLXRhbmRhLXRhbmdhbmktcGVtYmVyaGVudGlhbi1saWxpLXBpbnRhdWxpLXNlYmFnYWktcGltcGluYW4ta3Br0gF-aHR0cHM6Ly9hbXAua29tcGFzLmNvbS9uYXNpb25hbC9yZWFkLzIwMjIvMDcvMTEvMTIxODQ3ODEvam9rb3dpLXRhbmRhLXRhbmdhbmktcGVtYmVyaGVudGlhbi1saWxpLXBpbnRhdWxpLXNlYmFnYWktcGltcGluYW4ta3Br?hl=id&gl=ID&ceid=ID%3Aid
Tribunnews,"Lili Pintauli Siregar Mundur Sebagai Wakil Ketua KPK, Presiden Jokowi Teken Surat Pemberhentiannya",2022-07-11T08:05:46Z,https://news.google.com/articles/CCAiCzJERU9hM1hTZWlBmAEB?hl=id&gl=ID&ceid=ID%3Aid
Nasional Kompas.com,[LIVE STREAMING] Putusan Sidang Etik Wakil Ketua KPK Lili Pintauli - Kompas.com,2022-07-11T06:09:00Z,https://news.google.com/articles/CBMidWh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjIvMDcvMTEvMTMwOTIyNjEvbGl2ZS1zdHJlYW1pbmctcHV0dXNhbi1zaWRhbmctZXRpay13YWtpbC1rZXR1YS1rcGstbGlsaS1waW50YXVsadIBeWh0dHBzOi8vYW1wLmtvbXBhcy5jb20vbmFzaW9uYWwvcmVhZC8yMDIyLzA3LzExLzEzMDkyMjYxL2xpdmUtc3RyZWFtaW5nLXB1dHVzYW4tc2lkYW5nLWV0aWstd2FraWwta2V0dWEta3BrLWxpbGktcGludGF1bGk?hl=id&gl=ID&ceid=ID%3Aid
detikNews,Lili Pintauli Resmi Ajukan Pengunduran Diri sebagai Wakil Ketua KPK!,2022-07-11T05:17:53Z,https://news.google.com/articles/CBMia2h0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3MzA5Ni9saWxpLXBpbnRhdWxpLXJlc21pLWFqdWthbi1wZW5ndW5kdXJhbi1kaXJpLXNlYmFnYWktd2FraWwta2V0dWEta3Br0gFvaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02MTczMDk2L2xpbGktcGludGF1bGktcmVzbWktYWp1a2FuLXBlbmd1bmR1cmFuLWRpcmktc2ViYWdhaS13YWtpbC1rZXR1YS1rcGsvYW1w?hl=id&gl=ID&ceid=ID%3Aid
Nasional Tempo,Jokowi Resmi Teken Surat Pemberhentian Lili Pintauli Siregar,2022-07-11T05:46:00Z,https://news.google.com/articles/CBMiY2h0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vcmVhZC8xNjEwODQzL2pva293aS1yZXNtaS10ZWtlbi1zdXJhdC1wZW1iZXJoZW50aWFuLWxpbGktcGludGF1bGktc2lyZWdhctIBYmh0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vYW1wLzE2MTA4NDMvam9rb3dpLXJlc21pLXRla2VuLXN1cmF0LXBlbWJlcmhlbnRpYW4tbGlsaS1waW50YXVsaS1zaXJlZ2Fy?hl=id&gl=ID&ceid=ID%3Aid
CNBC Indonesia,"9 Negara Ini di Ujung Tanduk, Bisa Bangkrut Seperti Sri Lanka",2022-07-11T06:00:19Z,https://news.google.com/articles/CAIiEKZcVB9Pr1_uuzjxXdSa8WQqMwgEKioIACIQ_AkAW4K1GN2Prix5sHK-pioUCAoiEPwJAFuCtRjdj64sebByvqYwztCWBw?uo=CAUid2h0dHBzOi8vd3d3LmNuYmNpbmRvbmVzaWEuY29tL25ld3MvMjAyMjA3MTExMTU1MDQtNC0zNTQ1OTEvOS1uZWdhcmEtaW5pLWRpLXVqdW5nLXRhbmR1ay1iaXNhLWJhbmdrcnV0LXNlcGVydGktc3JpLWxhbmth0gEA&hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,Daftar Negara yang Terancam Bangkrut Susul Sri Lanka,2022-07-11T03:02:10Z,https://news.google.com/articles/CAIiEOfqKy2AGDiC8XnmnkVfNJ8qMwgEKioIACIQ3Sax1OtL6IZjpKEyJBUKryoUCAoiEN0msdTrS-iGY6ShMiQVCq8ws7-BBw?uo=CAUic2h0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vZWtvbm9taS8yMDIyMDcxMTA5MzYwMi01MzItODE5ODM3L2RhZnRhci1uZWdhcmEteWFuZy10ZXJhbmNhbS1iYW5na3J1dC1zdXN1bC1zcmktbGFua2HSAQA&hl=id&gl=ID&ceid=ID%3Aid
Tribunnews,"Negara Bangkrut hingga Presiden Mundur, 5 Fakta Krisis Ekonomi Sri Lanka",2022-07-11T07:49:11Z,https://news.google.com/articles/CCAiCzViQzFuTWxvc3lnmAEB?hl=id&gl=ID&ceid=ID%3Aid
detikNews,Potret Kehidupan Penuh Kesedihan di Sri Lanka yang Bangkrut,2022-07-11T03:02:52Z,https://news.google.com/articles/CBMiZmh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmJjLXdvcmxkL2QtNjE3MjgzOC9wb3RyZXQta2VoaWR1cGFuLXBlbnVoLWtlc2VkaWhhbi1kaS1zcmktbGFua2EteWFuZy1iYW5na3J1dNIBamh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmJjLXdvcmxkL2QtNjE3MjgzOC9wb3RyZXQta2VoaWR1cGFuLXBlbnVoLWtlc2VkaWhhbi1kaS1zcmktbGFua2EteWFuZy1iYW5na3J1dC9hbXA?hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,"Laos dan Myanmar Terancam Bangkrut Susul Sri Lanka, RI Apa Kabar?",2022-07-11T06:29:36Z,https://news.google.com/articles/CAIiEBficCB8cFENbOwwz23xOC0qMwgEKioIACIQ3Sax1OtL6IZjpKEyJBUKryoUCAoiEN0msdTrS-iGY6ShMiQVCq8ws7-BBw?uo=CAUifmh0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vZWtvbm9taS8yMDIyMDcxMTEyMzY1OS01MzItODE5OTM1L2xhb3MtZGFuLW15YW5tYXItdGVyYW5jYW0tYmFuZ2tydXQtc3VzdWwtc3JpLWxhbmthLXJpLWFwYS1rYWJhctIBAA&hl=id&gl=ID&ceid=ID%3Aid
